,State Name,Site Count
29,New Jersey,114
4,California,97
36,Pennsylvania,91
31,New York,83
21,Michigan,65
41,Texas,55
8,Florida,52
45,Washington,47
12,Illinois,46
13,Indiana,40
32,North Carolina,38
33,Ohio,37
47,Wisconsin,36
20,Massachusetts,32
24,Missouri,32
44,Virginia,29
38,South Carolina,28
22,Minnesota,25
19,Maryland,21
28,New Hampshire,20
5,Colorado,20
40,Tennessee,19
25,Montana,18
26,Nebraska,18
7,Delaware,17
9,Georgia,17
30,New Mexico,15
17,Louisiana,15
35,Oregon,14
15,Kansas,14
14,Iowa,13
6,Connecticut,13
37,Rhode Island,12
42,Utah,12
43,Vermont,12
0,Alabama,12
46,West Virginia,11
18,Maine,10
16,Kentucky,10
2,Arizona,10
34,Oklahoma,9
23,Mississippi,9
3,Arkansas,9
1,Alaska,6
11,Idaho,6
10,Hawaii,3
39,South Dakota,2
27,Nevada,1
48,Wyoming,1
